#  
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2018-07-03T20:22:50 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to: cds-question@unistra.fr
# 
#   
#Coosys J2000: eq_FK5 J2000 
#INFO votable-version=1.99+ (14-Oct-2013) 
#INFO -ref=VIZ5b3bdabe8aef 
#INFO -out.max=unlimited 
#INFO queryParameters=17 
#-oc.form=sexa
#-out.max=unlimited
#-nav=cat:J/A+A/568/A22&tab:{J/A+A/568/A22/tablef3}&key:source=J/A+A/568/A22/tablef3&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/A+A/568/A22/tablef3
#-order=I
#-out=Name
#-out=zcmb
#-out=mb
#-out=e_mb
#-out=x1
#-out=e_x1
#-out=c
#-out=e_c
#

#RESOURCE=yCat_35680022
#Name: J/A+A/568/A22
#Title: Joint analysis of the SDSS-II and SNLS SNe Ia (Betoule+, 2014)
#Table J_A_A_568_A22_tablef3:
#Name: J/A+A/568/A22/tablef3
#Title: Supernovae light-curve parameters
#---Details of Columns:
    Name       (a12)   Supernovae name [ucd=meta.id;meta.main]
    zcmb       (F6.3)  [0,1.4] CMB frame redshift (1) [ucd=src.redshift]
SDSS10028     0.064 18.348  0.113 -1.202  0.187  0.010  0.025
SDSS1032      0.129 20.337  0.116 -2.529  0.200  0.051  0.037
SDSS10434     0.103 19.157  0.114 -0.005  0.281 -0.087  0.027
SDSS10805     0.044 17.532  0.115 -0.953  0.402  0.057  0.025
SDSS11067     0.113 19.114  0.112  1.734  0.521 -0.072  0.026
SDSS1112      0.256 21.538  0.125 -0.623  0.675 -0.027  0.052
SDSS11206     0.380 22.200  0.138 -1.510  0.873 -0.206  0.085
SDSS11300     0.145 20.283  0.114 -1.607  0.676  0.075  0.033
SDSS1241      0.089 19.115  0.113 -0.548  0.079  0.049  0.023
SDSS1253      0.261 21.218  0.120 -0.959  0.448 -0.119  0.049
SDSS12779     0.079 19.150  0.118 -0.561  0.261  0.096  0.030
SDSS12781     0.083 19.386  0.115 -1.832  0.188  0.036  0.027
SDSS12843     0.166 20.412  0.118 -1.019  0.299  0.037  0.035
SDSS12853     0.168 20.174  0.117 -0.580  0.345 -0.062  0.032
SDSS12855     0.171 20.782  0.115 -1.918  0.297  0.041  0.035
SDSS12856     0.170 20.135  0.112  0.860  0.200 -0.090  0.023
SDSS12860     0.120 20.210  0.113 -0.303  0.200  0.141  0.028
SDSS12869     0.277 21.365  0.126  0.208  0.835 -0.041  0.051
SDSS12881     0.232 21.099  0.119  0.772  0.519  0.035  0.039
SDSS12883     0.306 21.588  0.146 -1.955  0.844 -0.058  0.072
SDSS12898     0.080 19.020  0.112 -0.069  0.085  0.070  0.021
SDSS12927     0.174 20.351  0.119  0.026  0.324  0.015  0.033
SDSS12928     0.139 19.897  0.117 -0.558  0.379 -0.064  0.032
SDSS12930     0.146 20.062  0.117  1.887  0.405  0.022  0.032
SDSS12950     0.081 18.916  0.112 -0.332  0.061 -0.005  0.020
SDSS12971     0.234 20.793  0.116  1.185  0.581 -0.092  0.036
SDSS12972     0.257 21.307  0.126  0.116  0.663 -0.081  0.049
SDSS12977     0.246 21.152  0.115  0.070  0.489 -0.048  0.038
SDSS13005     0.126 19.890  0.158 -0.332  0.315 -0.012  0.044
SDSS13025     0.224 21.237  0.117  0.742  0.297  0.029  0.036
SDSS13038     0.103 19.206  0.113  1.419  0.146 -0.023  0.023
SDSS13044     0.120 19.579  0.112 -0.014  0.128 -0.068  0.022
SDSS13045     0.181 20.674  0.118 -0.137  0.469  0.052  0.034
SDSS13070     0.197 20.348  0.116  0.949  0.275 -0.145  0.028
SDSS13072     0.229 21.093  0.122  0.392  0.390 -0.013  0.043
SDSS13099     0.265 21.535  0.120  0.347  0.787 -0.022  0.047
SDSS13135     0.103 19.374  0.112 -1.413  0.069 -0.057  0.021
SDSS13136     0.364 22.300  0.132  0.660  0.838 -0.102  0.060
SDSS13152     0.206 20.662  0.114  0.259  0.244  0.008  0.029
SDSS13254     0.180 21.152  0.120  0.480  0.538  0.093  0.039
SDSS13305     0.200 20.850  0.115  1.115  0.310  0.018  0.033
SDSS13354     0.157 20.298  0.113  1.040  0.163  0.088  0.027
SDSS13411     0.162 20.328  0.121  1.786  0.374  0.020  0.034
SDSS13425     0.210 21.865  0.131 -0.978  0.560  0.260  0.057
SDSS13506     0.242 21.801  0.122 -0.200  0.626  0.139  0.046
SDSS13511     0.236 21.462  0.118 -1.554  0.441 -0.095  0.041
SDSS13578     0.227 21.068  0.116 -0.246  0.366 -0.040  0.036
SDSS13610     0.297 21.382  0.118  0.079  0.535 -0.096  0.042
SDSS13641     0.209 20.762  0.114  1.026  0.284 -0.031  0.032
SDSS13655     0.251 21.936  0.120 -1.339  0.584  0.082  0.047
SDSS13689     0.250 20.967  0.117  1.161  0.379 -0.148  0.038
SDSS1371      0.118 19.052  0.112  0.790  0.096 -0.101  0.022
SDSS13727     0.220 20.856  0.116  1.253  0.342 -0.040  0.035
SDSS13736     0.149 19.972  0.112  1.117  0.165 -0.027  0.023
SDSS13757     0.287 21.263  0.119  1.099  0.429 -0.167  0.042
SDSS13796     0.144 19.838  0.112  0.789  0.116 -0.019  0.022
SDSS13830     0.328 21.645  0.134  1.180  0.621 -0.018  0.054
SDSS13835     0.246 21.075  0.115  0.625  0.246 -0.078  0.035
SDSS13894     0.120 20.320  0.113  0.743  0.166  0.166  0.027
SDSS13934     0.328 22.190  0.137 -0.708  0.819 -0.100  0.069
SDSS14019     0.215 21.433  0.120 -0.316  0.388 -0.022  0.046
SDSS14024     0.145 20.467  0.114 -1.923  0.195  0.038  0.032
SDSS14108     0.132 20.147  0.112  0.248  0.143 -0.001  0.024
SDSS14157     0.211 20.481  0.114  1.125  0.266 -0.058  0.032
SDSS14212     0.204 20.912  0.114 -0.340  0.173 -0.033  0.032
SDSS14261     0.280 21.350  0.122  0.694  0.462 -0.030  0.043
SDSS14279     0.044 17.546  0.114 -0.162  0.047  0.091  0.023
SDSS14284     0.180 20.229  0.113 -0.309  0.169 -0.069  0.026
SDSS14298     0.261 21.261  0.117  1.298  0.381 -0.081  0.042
SDSS14318     0.057 17.780  0.122  0.864  0.782  0.028  0.032
SDSS14331     0.213 21.246  0.117  0.141  0.294  0.014  0.039
SDSS14397     0.369 22.210  0.131 -1.193  0.603 -0.221  0.051
SDSS14421     0.174 20.452  0.112 -0.746  0.180 -0.098  0.026
SDSS14437     0.143 19.709  0.112  0.594  0.119 -0.095  0.024
SDSS14451     0.178 20.153  0.113  0.289  0.167 -0.107  0.026
SDSS14456     0.328 21.823  0.124 -0.041  0.547 -0.029  0.048
SDSS14481     0.254 21.385  0.124 -1.040  0.379 -0.172  0.050
SDSS14735     0.300 21.707  0.119 -0.087  0.420  0.033  0.045
SDSS14816     0.106 19.371  0.112 -0.673  0.093  0.021  0.022
SDSS14846     0.223 20.942  0.116  0.634  0.288 -0.045  0.036
SDSS14871     0.118 19.437  0.112  1.291  0.112 -0.047  0.022
SDSS14979     0.177 20.179  0.113  0.225  0.140 -0.118  0.025
SDSS14984     0.183 20.867  0.115  1.016  0.333  0.073  0.032
SDSS15057     0.298 21.846  0.131 -2.485  0.545 -0.059  0.058
SDSS15129     0.197 20.684  0.114 -0.774  0.223 -0.071  0.032
SDSS15132     0.153 19.761  0.112  1.068  0.147 -0.133  0.022
SDSS15161     0.248 21.203  0.117 -0.285  0.307 -0.054  0.041
SDSS15171     0.138 19.659  0.112  0.680  0.144 -0.079  0.022
SDSS15201     0.207 21.801  0.117 -1.246  0.454  0.094  0.040
SDSS15203     0.215 20.730  0.114  1.114  0.263 -0.025  0.032
SDSS15213     0.306 21.734  0.127 -0.084  0.592 -0.087  0.056
SDSS15219     0.247 21.057  0.115 -0.146  0.373 -0.154  0.036
SDSS15222     0.198 20.949  0.115 -1.339  0.278  0.011  0.034
SDSS15229     0.223 21.024  0.115  0.685  0.287 -0.033  0.037
SDSS15234     0.135 20.462  0.113  0.900  0.204  0.128  0.027
SDSS15259     0.211 20.792  0.114  0.420  0.264 -0.015  0.033
SDSS15287     0.273 21.161  0.114  1.423  0.314 -0.073  0.035
SDSS15301     0.247 20.666  0.114 -0.339  0.200 -0.139  0.033
SDSS15354     0.221 21.521  0.120 -2.265  0.354  0.085  0.048
SDSS15356     0.274 21.437  0.118 -0.707  0.476 -0.049  0.045
SDSS15365     0.177 20.505  0.113  0.830  0.231 -0.037  0.028
SDSS15383     0.311 21.860  0.123  0.212  0.705 -0.034  0.050
SDSS15421     0.184 20.642  0.113  0.175  0.256 -0.044  0.026
SDSS15425     0.159 19.908  0.112  0.971  0.165 -0.006  0.023
SDSS15433     0.220 20.944  0.115 -0.088  0.258 -0.068  0.035
SDSS15440     0.252 21.587  0.118 -0.624  0.491  0.066  0.043
